Filename,Start Time (s),End Time (s),Detected Feature
GC_F1-10ml.wav,2.8212244897959184,3.076643990929705,Energy
GC_F1-10ml.wav,3.297233560090703,3.297233560090703,Energy
GC_F1-10ml.wav,1437.1874829931974,1450.5737868480726,Envelope
GC_F1-10ml.wav,1452.0018140589568,1545.6595011337868,Envelope
GC_F1-10ml.wav,1554.6920634920634,1558.244716553288,Envelope
GC_F1-10ml.wav,1560.5783219954649,1581.7084807256235,Envelope
GC_F1-10ml.wav,1583.322267573696,1591.1938321995465,Envelope
GC_F1-10ml.wav,1594.5026757369615,1597.1149206349207,Envelope
GC_F1-10ml.wav,1603.8487074829932,1622.6336507936508,Envelope
GC_F1-10ml.wav,1629.5183673469387,1672.126984126984,Envelope
GC_F1-10ml.wav,1687.9397732426303,1690.2501587301588,Envelope
GC_F1-10ml.wav,1692.9320634920634,1694.452970521542,Envelope
GC_F1-10ml.wav,1703.009523809524,1706.7595464852607,Envelope
GC_F1-10ml.wav,1711.531247165533,1719.2867120181406,Envelope
GC_F1-10ml.wav,1727.5994557823128,1731.662947845805,Envelope
GC_F1-10ml.wav,1736.655238095238,1744.1436734693877,Envelope
GC_F1-10ml.wav,1757.971156462585,1767.235918367347,Envelope
GC_F1-10ml.wav,1788.5402267573695,1789.921814058957,Envelope
GC_F1-10ml.wav,2.8212244897959184,3.006984126984127,Spectral Flux
GC_F1-10ml.wav,3.030204081632653,3.1579138321995464,Spectral Flux
GC_F1-10ml.wav,3.2856235827664397,3.3901133786848074,Spectral Flux
GC_F1-10ml.wav,3.4249433106575964,3.4249433106575964,Spectral Flux
GC_F1-20ml.wav,3.541043083900227,3.541043083900227,Energy
GC_F1-20ml.wav,1808.7531972789116,1809.0086167800453,Envelope
GC_F1-20ml.wav,1812.5032199546486,1817.4955102040817,Envelope
GC_F1-20ml.wav,1817.6812698412698,1821.9421315192744,Envelope
GC_F1-20ml.wav,1822.0234013605443,1822.0234013605443,Envelope
GC_F1-20ml.wav,3.5062131519274375,3.5062131519274375,Spectral Flux
GC_F1-3ml.wav,2.8212244897959184,2.948934240362812,Energy
GC_F1-3ml.wav,4.272471655328798,4.272471655328798,Energy
GC_F1-3ml.wav,759.6872562358277,1435.364716553288,Envelope
GC_F1-3ml.wav,1450.1790476190477,1453.2092517006802,Envelope
GC_F1-3ml.wav,1467.0715646258504,1519.0494331065759,Envelope
GC_F1-3ml.wav,1525.7948299319728,1531.274739229025,Envelope
GC_F1-3ml.wav,1533.4225850340135,1539.3785034013606,Envelope
GC_F1-3ml.wav,1544.080544217687,1546.4373696145124,Envelope
GC_F1-3ml.wav,1566.766439909297,1583.57768707483,Envelope
GC_F1-3ml.wav,1587.339319727891,1594.351746031746,Envelope
GC_F1-3ml.wav,1630.7838548752834,1637.5408616780046,Envelope
GC_F1-3ml.wav,1644.355918367347,1666.1246258503402,Envelope
GC_F1-3ml.wav,1668.7949206349206,2195.551201814059,Envelope
GC_F1-3ml.wav,1.4628571428571429,2.7980045351473923,Spectral Flux
GC_F1-3ml.wav,2.8328344671201813,2.948934240362812,Spectral Flux
GC_F1-3ml.wav,2.972154195011338,3.0882539682539685,Spectral Flux
GC_F1-3ml.wav,3.215963718820862,4.260861678004535,Spectral Flux
GC_F1-3ml.wav,4.284081632653061,4.284081632653061,Spectral Flux
GC_F1-50ml.wav,2.426485260770975,4.6439909297052155,Energy
GC_F1-50ml.wav,6.373877551020408,6.5364172335600905,Energy
GC_F1-50ml.wav,6.907936507936508,6.907936507936508,Energy
GC_F1-50ml.wav,1181.965351473923,1183.683628117914,Envelope
GC_F1-50ml.wav,1244.4154195011338,1249.4773696145126,Envelope
GC_F1-50ml.wav,1251.1608163265307,2352.8780045351473,Envelope
GC_F1-50ml.wav,2385.7226303854877,3267.964807256236,Envelope
GC_F1-50ml.wav,3268.9284353741496,3351.661133786848,Envelope
GC_F1-50ml.wav,3354.2385487528345,3356.2702947845805,Envelope
GC_F1-50ml.wav,3358.9754195011337,3363.526530612245,Envelope
GC_F1-50ml.wav,3368.611700680272,3369.1573696145124,Envelope
GC_F1-50ml.wav,3372.66358276644,3376.018866213152,Envelope
GC_F1-50ml.wav,3378.1202721088434,3381.5568253968254,Envelope
GC_F1-50ml.wav,3384.6102494331067,3538.5121088435376,Envelope
GC_F1-50ml.wav,3541.310113378685,3541.310113378685,Envelope
GC_F1-50ml.wav,2.2871655328798184,2.403265306122449,Spectral Flux
GC_F1-50ml.wav,2.426485260770975,4.574331065759637,Spectral Flux
GC_F1-50ml.wav,4.6439909297052155,6.362267573696145,Spectral Flux
GC_F1-50ml.wav,6.3854875283446715,6.5364172335600905,Spectral Flux
GC_F1-50ml.wav,6.559637188208617,6.884716553287982,Spectral Flux
GC_F1-50ml.wav,6.907936507936508,6.907936507936508,Spectral Flux
GC_F1-5ml.wav,1.3467573696145125,1.3467573696145125,Energy
GC_F1-5ml.wav,693.6613151927438,694.682993197279,Envelope
GC_F1-5ml.wav,694.9384126984127,695.2867120181406,Envelope
GC_F1-5ml.wav,695.6466213151928,700.4763718820861,Envelope
GC_F1-5ml.wav,705.9795011337868,883.4960544217687,Envelope
GC_F1-5ml.wav,1.3351473922902495,1.7066666666666668,Spectral Flux
GC_F1-5ml.wav,1.7298866213151927,1.7298866213151927,Spectral Flux
GC_F2_10ML.wav,3.1811337868480725,3.4249433106575964,Energy
GC_F2_10ML.wav,1631.5501133786847,1639.3520181405895,Envelope
GC_F2_10ML.wav,1643.3226303854876,1676.9102947845804,Envelope
GC_F2_10ML.wav,1684.7702494331065,1686.418866213152,Envelope
GC_F2_10ML.wav,1692.6302040816327,1693.8260317460317,Envelope
GC_F2_10ML.wav,1735.3549206349207,1736.608798185941,Envelope
GC_F2_10ML.wav,1751.1328798185941,1756.0439002267574,Envelope
GC_F2_10ML.wav,1757.6460770975057,1759.375963718821,Envelope
GC_F2_10ML.wav,1787.414058956916,1788.6563265306122,Envelope
GC_F2_10ML.wav,1790.328163265306,1791.2569614512472,Envelope
GC_F2_10ML.wav,1792.08126984127,1792.882358276644,Envelope
GC_F2_10ML.wav,1793.5209070294784,1795.041814058957,Envelope
GC_F2_10ML.wav,1797.2477097505669,1798.5480272108844,Envelope
GC_F2_10ML.wav,1799.9296145124717,1800.870022675737,Envelope
GC_F2_10ML.wav,1801.3808616780045,1802.3444897959184,Envelope
GC_F2_10ML.wav,1804.1672562358276,1804.7709750566894,Envelope
GC_F2_10ML.wav,1807.1045804988662,1808.021768707483,Envelope
GC_F2_10ML.wav,1809.4149659863945,1810.889433106576,Envelope
GC_F2_10ML.wav,1811.7834013605443,1813.6177777777777,Envelope
GC_F2_10ML.wav,1814.8136054421768,1818.087619047619,Envelope
GC_F2_10ML.wav,1819.3182766439909,1847.8904308390022,Envelope
GC_F2_10ML.wav,1850.572335600907,1854.6474376417234,Envelope
GC_F2_10ML.wav,1856.748843537415,1859.9764172335601,Envelope
GC_F2_10ML.wav,1873.8967800453515,1874.5701587301587,Envelope
GC_F2_10ML.wav,3.1811337868480725,3.2856235827664397,Spectral Flux
GC_F2_10ML.wav,3.308843537414966,3.4249433106575964,Spectral Flux
GC_F2_10ML.wav,3.4481632653061225,3.5874829931972787,Spectral Flux
GC_F2_10ML.wav,3.633922902494331,3.633922902494331,Spectral Flux
GC_F2_20Ml.wav,2.8676643990929707,3.053424036281179,Energy
