audio_file,segment_type,frequency_hz,spl_db,detected_swallows,expected_swallows,group,volume_ml
GC-F10-10ml.wav,pre_swallow,710.5957031,-6.840265324,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,721.3623047,-9.861049176,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,732.1289063,-9.612134176,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,742.8955078,-10.91992298,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,753.6621094,-13.36051986,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,764.4287109,-15.41194693,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,775.1953125,-15.18442766,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,785.9619141,-15.91195781,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,796.7285156,-14.68027314,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,807.4951172,-14.49294963,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,818.2617188,-15.51963149,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,829.0283203,-18.72402663,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,839.7949219,-17.52863475,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,850.5615234,-16.58184251,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,861.328125,-17.66584559,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,872.0947266,-20.86130053,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,882.8613281,-23.80343137,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,893.6279297,-22.19419691,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,904.3945313,-22.19242741,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,915.1611328,-20.39186054,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,925.9277344,-20.88866456,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,936.6943359,-22.77767991,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,947.4609375,-23.56458001,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,958.2275391,-23.16741271,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,968.9941406,-21.40569442,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,979.7607422,-20.76403885,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,990.5273438,-23.3438134,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1001.293945,-23.60651267,2,2,Control,10
